Deloitte Touche Tohmatsu;;;Corporate and Withholding Tax Rates;Between Major Trading Nations 1992 Edition;;;;131;Druckerzeugnis;;Haupt-Bibliothek;KA 347;New York;Deloitte Touche Tohmatsu;1992;KA;;;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;;iffonly;515871265
Denison E. F.;;;An Aspect of Unequal Opportunity;;;;;7-;Druckerzeugnis;;Separata;AG Sep. 40 a;;;1971;YN;;;Wirtschaftswissenschaften;Konjunkturschwankungen, Stabilitätspolitik;;iffonly;515871281
Märkt Jörg;;;Steuern als Preise;;;;3-448-05614-6;430;Druckerzeugnis;Zur Notwendigkeit einer Besteuerung ohne Trittbrettfahrer angesichts des Steuerwettbewerbs- Schriftenreihe des Instituts für Allgemeine Wirtschaftsforschung der Albert-Ludwigs-Uni Freiburg;Haupt-Bibliothek;YL8 009;Freiburg;Rudolf Haufe;2003;YL8;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Allgemeine Steuerlehre, Steuersystem einzelner Länder;iffonly;51587129X
Bundesversammlung;;;Botschaft des Bundesrates an die Bundesversammlung zum Entwurf eines Bundesgesetzes über den eidgenössischen Finanzhaushalt;;;;;50;Druckerzeugnis;;Separata;VA Sep. 06;;;1968;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle;iffonly;515871311
Olins Wally;;;Design in Corporate Strategy;;;;-;137-143;Druckerzeugnis;in: ISC (Hrsg.), The Spirit of Competition;Haupt-Bibliothek;;;;;WD;;;Uebrige Literatur;Diverse Gebiete, Umweltschutz;;iffonly;514575395
Sedlaczek Michael;;;Der Begriff der Diskriminierung und der Beschränkung;die Kapitalverkehrsfreiheit als konvergente Grundfreiheit des EG-Vertrages;;;-;27-62;Druckerzeugnis;In: Ruppe, Hans G., Sedlaczek, Michael & u.a., (Hrsg.): Kapitalverkehrsfreiheit und Steuerrecht;Haupt-Bibliothek;;;;;LP;;;Interkantonales/Internationales Steuerrecht;Oesterreich;;iffonly;514587547
Fürböck Karl;;;Die Pensionsreform;;;;;10;Druckerzeugnis;Leistungsrechtliche und finanzielle Auswirkungen;Separata;AF Sep. 27;Wien;Institut für Finanzwissenschaft und Steuerrecht;1984;YX;;;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;;iffonly;515871370
Zörner Hendrik;;;Der Weg ist das Ziel;;;;;14-15;Druckerzeugnis;;Separata;EK Sep. 03;;;1993;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;;iffonly;515871389
Bundesministerium der Finanzen;;;Administrierbarkeit der Modelle zur Unternehmensteuerreform bei Finanzverwaltung-Steuerpflichtigen und Steuerberatern;;;;;81;Druckerzeugnis;- Ergebnisse der Planspiele und des Modellvergleichs - Abschlussbericht 1999;Haupt-Bibliothek;KB 192;Bonn;Stollfuss;2000;KB;;;Ausländisches Steuerrecht;Deutschland;;iffonly;515871397
Lechner Eduard;;;Die Behandlung von Dividenden nach dem neuen DBA Österreich-Deutschland;;;;-;81-96;Druckerzeugnis;in: Gassner, Wolfgang, Lang, Michael & u.a., (Hrsg.): Das neue Doppelbesteuerungsabkommen Österreich-Deutschland;Haupt-Bibliothek;;;;;LP;;;Interkantonales/Internationales Steuerrecht;Oesterreich;;iffonly;514587555
Spacek Leonard;;;A search for fairness in financial reporting to the public;;;;;582;Druckerzeugnis;;Haupt-Bibliothek;WA 217;Chicago;Arthur Andersen;1969;YP;;;Wirtschaftswissenschaften;Allgemeine Betriebswirtschaftslehre;;iffonly;515871400
Dellmann K.;;;Prozesskostenrechnung für Massnahmen- und Ressourcenentscheidungen in der Verwaltung;;;;-;45778;Druckerzeugnis;In: Hess-John (Hrsg.): Controlling in der öffentlichen Verwaltung;Haupt-Bibliothek;;;;;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle;iffonly;514587563
Dahlmanns Tanja;;;Tagungsbericht;Kolloquium zur Beschleunigung der Betriebsprüfung;;;-;67;Druckerzeugnis;IFSt-Schrift 467;Haupt-Bibliothek;;;;;KB;;;Ausländisches Steuerrecht;Deutschland;;iffonly;514575409
Garvey Gerald J.;Dilulio John J., Jr.;;Sources of Public Service Overregulation;;;;0.8157.1854.3;13850;Druckerzeugnis;In: Dilulio John J. Jr. und andere (ed.)- Deregulating the Public Sector;Haupt-Bibliothek;;Washington;Brookings Institution;;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;;iffonly;514575433
Amt für Bundesbauten;;;Bericht Leistungsauftrag im Bauwesen des Bundes;;;;-;;Druckerzeugnis;vorgelegt vom Amt für Bundesbauten im Auftrag des Eidg. Departement des Inneren;Haupt-Bibliothek;EF 217;Bern;Amt für Bundesbauten;1996;YQ;;;Wirtschaftswissenschaften;Spezielle Betriebswirtschaftslehren;;iffonly;515871435
Franz Alfred;;;Die Input-Struktur des Bundes;;;;;9;Druckerzeugnis;Ein neuer Aspekt des Bundeshaushaltes dargestellt am Beispiel des Jahres 1970;Separata;VG Sep. 02;Wien;Institut für Finanzwissenschaft und Steuerrecht;1974;YL2;YL7;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;"Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";iffonly;51587146X
Ax Rolf;Grosse Thomas;Melchior Jürgen;Abgabenordnung und Finanzgerichtsordnung;;;;3-8202-1208-6;734;Druckerzeugnis;16. A.;Haupt-Bibliothek;KB 156;Stuttgart;Schäffer;1999;KB;;;Ausländisches Steuerrecht;Deutschland;;iffonly;515871478
Brookings Institution;;;A Supply-Side Budget;;;;;14;Druckerzeugnis;;Separata;AK Sep. 116;Washington;Brookings;1981;YC;;;Wirtschaftswissenschaften;Wirtschaftstheorie, einschliesslich Geldtheorie;;iffonly;515871508
Garrigue Civil Jean;;;Die Mehrwertsteuer in Frankreich;;;;-;47-54;Druckerzeugnis;In: Deutsche Gesellschaft für Betriebswirtschaft, (Hrsg.): Besteuerung der Wirtschaft in der EWG - Praxis von heute und morgen. 3. A.;Haupt-Bibliothek;;;;;KA;;;Ausländisches Steuerrecht;Staatenverbände, Staatengruppen;;iffonly;514575476
von Armin Hans Herbert;;;Wirtschaftlichkeit als Kontrollmassstab des Rechnungshofs. Zugleich ein Beitrag zur Frage der demokratischen Legitimation der Rechnungshöfe;;;;-;259-279;Druckerzeugnis;In: Zavalberg-Heinz Günter (Hrsg.)- und andere: Die Kontrolle der Staatsfinanzen - Geschichte und Gegenwart - 1714 - 1989;Haupt-Bibliothek;;;;;YL2;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Haushaltsaufstellung, -verwaltung und -kontrolle;iffonly;51458758X
Proxmire William;;;An Economic Progile of Mainland China;;;;;659;Druckerzeugnis;Joint Economic Committee of the U.S. Congress;Haupt-Bibliothek;AA 201;New York;Frederick A. Praeger;1968;YB;;;Wirtschaftswissenschaften;Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik;;iffonly;515871605
Dézsy Josef M.;;;Anreize und Steuerungsmöglichkeiten durch Preisvorgaben im Krankenhaus;;;;;50-59;Druckerzeugnis;Das Krankenhaus 2/1988;Separata;X Sep. 06;;;1988;YX;;;Wirtschaftswissenschaften;Sozialpolitik. Gesundheitswesen. Bildungsökonomie;;iffonly;51587163X
Widhalm Christian;;;Der 'foreign ownership test' und der 'base erosion test' als Voraussetzung für die Abkommensberechtigung;;;;-;91-109;Druckerzeugnis;In: Gassner, Wolfgang, Lang, Michael & Lechner, Eduard, (Hrsg.): Das neue Doppelbesteuerungsabkommen Österreich - USA. Abkommenspraxis im Spannungsfeld zwischen OECD- und US-Musterabkommen;Haupt-Bibliothek;;Wien;Linde;;LP;;;Interkantonales/Internationales Steuerrecht;Oesterreich;;iffonly;514587628
Herbeck Gabriele;;;Die Schattenwirtschaft;;;;-;7;Druckerzeugnis;;Separata;AC Sep. 12;Wien;Institut für Finanzwissenschaft und Steuerrecht;1985;YL1;;;Wirtschaftswissenschaften;Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre;Allgemeines;iffonly;515871680
