"Kaldor Nicholas";;;"The income burden of capital taxes";;;;0;0;Druckerzeugnis;"in. Chapman/S. J./Young Allyn A./andere: Readings in the Economics of Taxation";Haupt-Bibliothek;;London;"George Allen & Unwin";;YL7;YL8;YL9;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre";unsafe
"Friedmann Lewis B.";;;"Budgeting Municipal Expenditures";;;;0-275-09630-0;245;Druckerzeugnis;"A Study in Comparative Policy Making";Haupt-Bibliothek;"VB 149";London;Praeger;1975;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";found;;(DE-627)039053202
"Klein Friedrich";"Barbey Günther";;"Bundesverfassungsgericht und Rückwirkung von Gesetzen";;;;-;138;Druckerzeugnis;"Institut 'Finanzen und Steuern', Heft 72";Haupt-Bibliothek;"JD 101";Bonn;Stollfuss;1964;JD;;;"Allgemeine Steuerrechtsliteratur";"Grundsätze der Rechtsanwendung";0;found;;(DE-627)1075597501
Prognos;;;"Beurteilung der Einflüsse von Energiepreisänderungen auf die Energienachfrage und ihre prognostischen und energiepolitischen Konsequenzen";;;;0;153;Druckerzeugnis;"Studie der Prognos AG im Auftrag des Eidg. Amtes für Energiewirtschaft";Haupt-Bibliothek;"AG 305";Basel;Prognos;1977;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";0;found;;(DE-604)BV021889409
OECD;;;"Bildung Kompakt";;;;92-64-54405-4;371;Druckerzeugnis;OECD-Indikatoren;Haupt-Bibliothek;"EJ 148";Paris;OECD;1995;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;found;;(DE-602)b3kat_BV025077751
"Statistisches Bureau des Kantons Bern";;;"Aufgaben der Finanzkontrolle";;;;0;30;Druckerzeugnis;0;Separata;"VE Sep. 04";Bern;"Statistisches Bureau des Kanton Bern";1969;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";notfound
"Giroud Charles";"Purtschert Robert";"Schwarz Peter";"Das Freiburger Management-Modell für Nonprofit-Organisationen (NPO)";;;;3-258--05110-0;166;Druckerzeugnis;0;Haupt-Bibliothek;"EF 208";Bern;"Paul Haupt";1995;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;found;;(DE-627)182854035
Nigro;"Lloyd G.";Richardson;Foundations;;;;0-934540-86-1;"Mär 21";Druckerzeugnis;"In: Ingraham-Patricia W.- Kettl-Donald F.: Agenda for Excellence: Public Service in America The Founder's Unsentimental View of Public Service in the American Regime";Haupt-Bibliothek;;Chatham;"Chatham House";;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;unsafe
IFSt;;;"IFSt-Heft 059";"Bd. 1";;;-;91;Druckerzeugnis;0;Haupt-Bibliothek;"Z 152 059.1";Bonn;Stollfuss;1959;Z;;;Zeitschriften;0;0;ignore
"Weinsheimer Willi";;;"Die Auslegung gegen den Wortlaut im Steuerrecht";;;;0;94;Druckerzeugnis;0;Haupt-Bibliothek;"JD 317";Düsseldorf;"Verlagsbuchhandlung des Instituts der Wirtschaftsprüfer";1958;JD;;;"Allgemeine Steuerrechtsliteratur";"Grundsätze der Rechtsanwendung";0;found;;(DE-627)1112103066
"Friedrich-Wilhelm Behmenburg";;;"Die langfristige Investitionsplanung der Gemeinden";;;;0;97;Druckerzeugnis;0;Haupt-Bibliothek;"EC 107";Düsseldorf;"Verlagsbuchhandlung des Instituts der Wirtschaftsprüfer";1962;YL3;YQ;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";"Finanzwirtschaft untergeordneter Gebietskörperschaften";found;;(DE-627)1115781243
"Feurer P.";;;"Der Euromarkt-seine Risiken und seine Rückwirkungen auf die schweizerische Wirtschaft";;;;0;10-;Druckerzeugnis;"Referat gehalten an der GV des Schweiz. Bankvereins, Bulletin Nr. 1, 1970";Separata;"AK Sep. 324";Basel;"Schweizerischer Bankverein";1970;YM;;;Wirtschaftswissenschaften;"Internationaler Handel. Zahlungsbilanz und Wechselkurse";0;notfound
"Krause-Junk Gerold";;;"Automatismen versus Autonomie";;;;-;59-111;Druckerzeugnis;"In: Geyer Herbert/andere: Budgetpolitik im Wandel";Haupt-Bibliothek;;;;;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";found;;(DE-627)261846914
"Wilk Stefan";;;"Die einkommensteuerrechtliche Behandlung von Auslandsverlusten";;;;3-428-10040-9;282;Druckerzeugnis;"Eine systematisch-methodische, verfassungs- und europarechtliche Untersuchung";Haupt-Bibliothek;"KB 163";Berlin;"Duncker & Humblot";2000;KB;;;"Ausländisches Steuerrecht";Deutschland;0;found;;(DE-627)313491119
"Ebner Fritz";;;"Die gesamtwirtschaftliche Förderung von Berggebieten";;;;0;10;Druckerzeugnis;0;Separata;"AG Sep. 67";Zürich;"Gesellschaft zur Förderung der schweizerischen Wirtschaft";1973;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";0;found;;(DE-627)531445844
"Stauffer Hans-Ulrich";;;"Die berufliche Vorsorge BVG / FZG / ZGB / OR";;;;"3 7255 3514 0";231;Druckerzeugnis;0;Haupt-Bibliothek;"WB 237";Zürich;Schulthess;1996;WB;;;"Uebrige Literatur";"Oeffentliches Recht";0;found;;(DE-101)948881186
"Bürgisser-Peters Petra";;;"Staatliche Altersvorsorge";"Solidarität in jeder Hinsicht?";;;3.7190.1040.6;207-234;Druckerzeugnis;"In: Frey René/Leu Robert (Hrsg.): Der Sozialstaat unter der Lupe";Haupt-Bibliothek;;Basel;"Helbing & Lichtenhahn";1988;YX;;;Wirtschaftswissenschaften;"Sozialpolitik. Gesundheitswesen. Bildungsökonomie";0;notfound
"Brainin Josef";;;"Bürger Client Server Justiz";;;;0;56;Druckerzeugnis;"Informationstechnik als Antrieb der Erneuerung";Haupt-Bibliothek;"EA 286";Wien;"Bundesministerium für Justiz";1997;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;notfound
"Giger Markus";;;"Die Regionalisierung des öffentlichen Verkehrs";;;;0;195;Druckerzeugnis;"Dissertation HSG, Nr. 1240";Haupt-Bibliothek;"AJ 359";Bern;"Paul Haupt";1991;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";0;found;;(DE-627)1651964173
