IFA;;;"Cahiers de Droit Fiscal International";"Vol. LXVIa (1981)";;;0;404;Druckerzeugnis;"Das Verständigungsverfahren - Verfahren und praktische Handhabung";Haupt-Bibliothek;"LC 0301 066.1";Deventer;Kluwer;1981;LC;;;"Interkantonales/Internationales Steuerrecht";"Internationales Steuerrecht";0;ignore
IFA;;;"Cahiers de Droit Fiscal International";"Vol. LXVIIa (1982)";;;0;661;Druckerzeugnis;"Die steuerliche Behandlung der Zinsen bei internationalen Wirtschaftsbeziehungen";Haupt-Bibliothek;"LC 0301 067.1";Deventer;Kluwer;1982;LC;;;"Interkantonales/Internationales Steuerrecht";"Internationales Steuerrecht";0;ignore
"Gambier Claude";"Mercier Jean-Yves";;"Les impôts en France";;;;0;614;Druckerzeugnis;0;Haupt-Bibliothek;"KE 102";Paris;"Ed. Francis Lefebre";1991;KE;;;"Ausländisches Steuerrecht";Frankreich;0;found;;(DE-627)160390798X
IBFD;;;"International Tax Glossary";;;;90-70125-85-4;356;Druckerzeugnis;"3. A.";Haupt-Bibliothek;"JA 161 1";Amsterdam;IBFD;1996;JA;;;"Allgemeine Steuerrechtsliteratur";"Allgemeines, Lehrbücher";0;found;;(DE-627)218746369
IFSt;;;"IFSt-Heft 058";"Bd. 2";;;-;42;Druckerzeugnis;0;Haupt-Bibliothek;"Z 152 058.2";Bonn;Stollfuss;1962;Z;;;Zeitschriften;0;0;ignore
"Gilmour Arthur W.";;;"Income Tax Handbook 1976-1977";;;;-;877;Druckerzeugnis;"25. A.";Haupt-Bibliothek;"KJ 104";Toronto;"Richard de Boo Ltd.";1977;KJ;;;"Ausländisches Steuerrecht";Kanada;0;notfound
"Rüegg-Peduzzi Gabriella";;;"Die Handänderungssteuer in der Schweiz";;;;0;184;Druckerzeugnis;"Dissertation der Uni Zürich";Haupt-Bibliothek;"RC 106";Zürich;"Zentralstelle der Studentenschaft";1989;RC;;;"Uebrige Steuern";Handänderungsteuer;0;found;;(DE-627)01450538X
"Egger Rudolf";;;"Das Subjekt der Kultussteuern in der Schweiz";;;;-;216;Druckerzeugnis;"Dissertation der Uni Bern";Haupt-Bibliothek;"OB 401";Bern;"Ernst Lang";1942;OB;;;"Grundbegriffe und Geschichte der Steuern";Steuerhoheit;0;found;;(DE-627)1126844810
"Weber Harald";;;"Grundgesetz-Gesellschaftsrecht und die Besteuerung der selbständigen Unternehmen";"Ein Beitrag zur Grossen Steuerreform .";;;0;475;Druckerzeugnis;"Bd.1: Die Struktur der Gesellschafts- und Beteiligungsform Wirtschaftsrecht und Wirtschaftspolitik, Band 16";Haupt-Bibliothek;"PE 0135";Frankfurt;Athenäum;1971;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;found;;(DE-627)625475216
"Brönner Herbert";;;"Die Besteuerung der Gesellschaften";;;;0;1099;Druckerzeugnis;12.A.;Haupt-Bibliothek;"PE 0123";Stuttgart;Schäffer;1970;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;found;;(DE-627)107180961X
"Lardelli Aldo";;;"Die Steuerhoheit der Selbstverwaltungskörper im Kanton Graubünden";;;;-;213;Druckerzeugnis;"Dissertation der Uni Zürich";Haupt-Bibliothek;"OB 404";Zürich;"J. Weiss";1951;OB;;;"Grundbegriffe und Geschichte der Steuern";Steuerhoheit;0;found;;(DE-627)311475310
"Maubach Peter";;;"Die Verwirklichung des Äquivalenzprinzips durch die Gewerbesteuerzerlegung in Fällen der Betriebs- und Wohngemeindendivergenz";;;;-;116;Druckerzeugnis;"Disserttion der Uni Köln";Haupt-Bibliothek;"OB 405";Köln;Fotodruck;1970;OB;;;"Grundbegriffe und Geschichte der Steuern";Steuerhoheit;0;found;;(DE-627)1072462052
"Vallender Klaus A.";;;"Schweizerisches Steuer-Lexikon";;;;0;0;Druckerzeugnis;"Nachschlagewerk für eidg. und kant. Steuern. Grundsätze der Einschätzungs-Praxis. Wichtige Steuerjustiz-Entscheide.";Haupt-Bibliothek;"JA 105 I e";Zürich;Organisator;1989;JA;;;"Allgemeine Steuerrechtsliteratur";"Allgemeines, Lehrbücher";0;ignore
"Kirsten Walter";"Matheja Kurt";;"Treuhand und Treuhänder im Steuerrecht";;;;-;190;Druckerzeugnis;"Steuerliche Treuhand, Treuhänderschaft und Organschaft 2. A.";Haupt-Bibliothek;"PJ 501";Berlin;"Neue Wirtschafts-Briefe";1978;PJ;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";Vermögensteuer;0;found;;(DE-604)BV003250218
"Bürgenmeier Beat";"Schönenberger Alain";"Zarinnejadan Milad";"Fiscalité et Investissement Privé en Suisse";;;;-;246;Druckerzeugnis;"Programme National de Recherche, No. 9";Haupt-Bibliothek;"PJ 119";Genf;"Editions Georg";1986;PJ;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";Vermögensteuer;0;found;;(DE-627)274196875
"Wipfli Hans";;;"Das aktuelle Steuerhandbuch";"Bd. 2";;;"3 297 28600 8";;Loseblattwerk;"Allgemeiner Teil / Bund";"HB Steuerrecht";"JC 103 2";Zürich;Weka;2017;JC;;;"Allgemeine Steuerrechtsliteratur";"Schweizerische Kommentare und Handbücher";0;ignore
"Meier-Hayoz Arthur";"Forstmoser Peter";;"Grundriss des schweizerischen Gesellschaftsrechts";;;;0;451;Druckerzeugnis;7.A.;Haupt-Bibliothek;"WC 205";Bern;Stämpfli;1993;WC;;;"Uebrige Literatur";Privatrecht;0;found;;(DE-627)124298435
"Stadlin Paul";;;"Die Befreiung des Bundes von der kantonalen Steuerhoheit";;;;-;270;Druckerzeugnis;"Dissertation der Uni Zürich";Haupt-Bibliothek;"OC 203";Zürich;"J. Kündig";1943;OC;;;"Grundbegriffe und Geschichte der Steuern";Steuersubjekt;0;found;;(DE-627)380946548
"Huttenlocher Loys";;;"L'imposition des personnes morales en droit neuchâtelois";;;;0;183;Druckerzeugnis;"Diss. der Uni Neuchâtel";Haupt-Bibliothek;"PK 125";"La Chaux-de-Fonds";"Imprimerie Courvoisier SA";1957;PK;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Besteuerung juristischer Personen, Kapitalgesellschaften";0;found;;(DE-627)314479783
"Trachsler Max";;;"Die steuerpolitische Behandlung der Kapitalgesellschaften im zürcherischen Steuersystem";;;;-;111;Druckerzeugnis;"Dissertation der Uni Zürich";Haupt-Bibliothek;"PK 109";Zürich;"P. G. Keller";1954;PK;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Besteuerung juristischer Personen, Kapitalgesellschaften";0;found;;(DE-627)1158421540
EG;;;"Amtsblatt der Europäischen Gemeinschaften 1969";1981;;;0;0;Druckerzeugnis;"Rechtsvorschriften / Mitteilungen und Bekanntmachungen";Separata;"FB Sep. 003";Luxemburg;"Veröffentlichungsdienst EG";1981;YL5;YM;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";"Finanzwirtschaft supranationaler Behörden";ignore
"Hodler Fredy";;;"Die steuerliche Abgrenzung der juristischen Personen unter spezieller Berücksichtigung der Entwicklung im Kanton Zürich";;;;0;111;Druckerzeugnis;"Dissertation der Uni Zürich";Haupt-Bibliothek;"PK 303";Zürich;;1945;PK;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Besteuerung juristischer Personen, Kapitalgesellschaften";0;found;;(DE-605)HT005207492
"Hilty Thomas";;;"Die Besteuerung geldwerter Leistungen";;;;-;332;Druckerzeugnis;"2. A., der Diss.-Nr. 1077 der Uni St.Gallen";Haupt-Bibliothek;"PF 220 2";Entlebuch;"Huber Druck AG";1990;PF;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";Vermögensertrag;0;found;;(DE-627)1097636771
"Vallender Klaus A.";;;"Schweizerisches Steuer-Lexikon";;;;0;0;Druckerzeugnis;"Nachschlagewerk für eidg. und kant. Steuern. Grundsätze der Einschätzungs-Praxis. Wichtige Steuerjustiz-Entscheide.";Haupt-Bibliothek;"JA 105 II b";Zürich;Organisator;1983;JA;;;"Allgemeine Steuerrechtsliteratur";"Allgemeines, Lehrbücher";0;ignore
"Dellmann Klaus";;;"Bilanzierung nach neuem Aktienrecht";;;;0;215;Druckerzeugnis;2.A.;Haupt-Bibliothek;"PE 1030";Bern;"Paul Haupt";1992;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;found;;(DE-627)277388813
"Helbling Carl";;;"Provisions pour impôts au bilan";;;;0;135;Druckerzeugnis;"2.A. Schriftenreihe: Finanzwirtschaft und Finanzrecht Bd. 65";Haupt-Bibliothek;"PE 0460 b";Bern;Haupt;1993;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;found;;(DE-627)272225843
"Schöne Wolf-Dieter";;;"Die Besteuerung der Kapitalgesellschaften Ergebnissteuern/Substanzsteuern";;;;0;194;Druckerzeugnis;"Grunlagen und Praxis des Steuerrechts, Bd. 23";Haupt-Bibliothek;"PK 164";Bielefeld;"Erich Schmidt";1985;PK;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Besteuerung juristischer Personen, Kapitalgesellschaften";0;notfound
"Junker Christoph";;;"Steuerflucht und Basisunternehmen in England";;;;-;269;Druckerzeugnis;"Reihe: Europäische Hochschulschriften, Reihe II, Rechtswissenschaft, Bd. 290";Haupt-Bibliothek;"LG 101";Frankfurt;"Peter Lang";1982;LG;;;"Interkantonales/Internationales Steuerrecht";England;0;found;;(DE-627)020971753
"Feger Wolfgang F.";;;"Die Besteuerung der Kapitalgesellschaften im Fürstentum Lichtenstein";;;;0;140;Druckerzeugnis;"Dissertation der Uni Freiburg Ue.";Haupt-Bibliothek;"PK 132";Freiburg;"Buch- und Verlagsdruckerei";1969;PK;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Besteuerung juristischer Personen, Kapitalgesellschaften";0;notfound
"Härtl-Watters Gregory";;;"International Leasing. A guide to the Taxation of Cross-Border equipment Leasing";;;;-;104;Druckerzeugnis;"International Tax Review Suppl. February 1992";Haupt-Bibliothek;"LC 6116";London;Euromoney;1992;LC;;;"Interkantonales/Internationales Steuerrecht";"Internationales Steuerrecht";0;notfound
"Gassner Hans-Werner";;;"Rechnungslegung in Liechtenstein";;;;0;459;Druckerzeugnis;"Entwicklung eines Vorschlages für die Neuordnung der Rechnungslegung im Rahmen einer künftigen Revision des liechtensteinischen Personen- und Gesellschaftsrechtes Diss. Nr. 1112 der HSG";Haupt-Bibliothek;"PE 1021";Schaan;"Gutenberg AG";1989;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;found;;(DE-627)1087673046
"Margairaz André";"Merkli Roger";;"L'impositions des sociétés anonymes en Suisse";;;;0;160;Druckerzeugnis;"Aspects et problèmes fiscaux fédéraux et contonaux";Haupt-Bibliothek;"PK 156 1.1";Bern;Cosmos;1978;PK;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Besteuerung juristischer Personen, Kapitalgesellschaften";0;found;;(DE-627)1620316366
"Tomfohrde Klaus";;;"Die dynamische Bilanzauffassung und das Bilanzsteuerrecht";;;;-;193;Druckerzeugnis;"Schriftenreihe des Instituts für Steuerrecht der Uni zu Köln, hrsg. von Armin Spitaler, Bd. 7";Haupt-Bibliothek;"PE 0312";Düsseldorf;"Verlagsbuchhandlung des Instituts der Wirtschaftsprüfer";1959;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;found;;(DE-627)1100939083
"Brönner Herbert";;;"Die Bilanz nach Handels- und Steuerrecht";;;;0;900;Druckerzeugnis;7.A.;Haupt-Bibliothek;"PE 0327";Stuttgart;Schäffer;1968;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;found;;(DE-627)1072271133
"Helbling Carl";;;"Unternehmensbewertung und Steuern";;;;3-8021-0650-4;818;Druckerzeugnis;"Unternehmensbewertung in Theorie und Praxis, insbesondere die Berücksichtigung der Steuern aufgrund der Verhältnisse in der Schweiz und in Deutschland 8. A.";Haupt-Bibliothek;"WA 297 8";Düsseldorf;IDW-Verlag;1995;WA;;;"Uebrige Literatur";BWL;0;found;;(DE-627)25753573X
"Niemann Ursula";;;Bilanzierungswahlrechte;"Massgeblichkeit handelsrechtlicher Wahlmöglichkeiten für die steuerrechtliche Gewinnermittlung -";;;-;58;Druckerzeugnis;"IFSt-Heft 98";Haupt-Bibliothek;;;;;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;found;;(DE-627)021325189
"Constantin Ch.";;;"La législation fiscale et la prévoyance en faveur du personnel";;;;-;18;Druckerzeugnis;"in: 'Journal des Associations patronales suisses', Nr. 27, Juli 1970";Haupt-Bibliothek;"PG 209";Zürich;"Imprimerie sur Sihl SA";1970;PG;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen aus anderen Quellen";0;found;;(DE-627)386047235
"International Society of Securities Administrators";;;"ISSA Handbook";A-K;;;-;;Druckerzeugnis;"Ursprünglich Loseblattwerk 4. A.";Haupt-Bibliothek;"PH 206 1";Zürich;ISSA;1991;PH;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Ausserordentliches Einkommen";0;found;;(DE-101)1024127699
"Neuhaus Markus Rudolf";;;"Die Besteuerung des Aktienertrages";;;;"3 7255 2652 4";343;Druckerzeugnis;"Dissertation der Universität Zürich";Haupt-Bibliothek;"PF 219";Zürich;Schulthess;1988;PF;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";Vermögensertrag;0;found;;(DE-627)275086682
"Norr Martin";;;"The Taxation of Corporations and Shareholders";;;;0;197;Druckerzeugnis;0;Haupt-Bibliothek;"PK 117";Deventer;Kluwer;1982;PK;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Besteuerung juristischer Personen, Kapitalgesellschaften";0;found;;(DE-627)021614288
"von Köller Henning";;;"Die Behandlung geringwertiger Wirtschaftsgüter im Bilanzsteuerrecht (§ 6 Abs. 2 EStG)";;;;0;117;Druckerzeugnis;"Diss. der Uni Göttingen";Haupt-Bibliothek;"PE 0424";;;1970;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;found;;(DE-627)1072334143
"Pressekomitee für Fiskalfragen";;;"Die Besteuerung der Eigenmietwerte";;;;-;88;Druckerzeugnis;"Arbeitstagung für die Presse vom 31.10.83";Haupt-Bibliothek;"PF 306";Bern;"Informationsstelle für Steuerfragen";1983;PF;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";Vermögensertrag;0;found;;(DE-627)497837404
"Rohr Rudolf";"Zemp Heinrich";;"Die Besteuerung des Eigenmietwerts";;;;0;16;Druckerzeugnis;"Schweizerische Zentralstelle für Eigenheim- und Wohnbauförderung, Nr. 6";Separata;"PF Sep. 03";Zürich;"Schweizerische Zentralstelle für Eigenheim- und Wohnbauförderung";1986;PF;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";Vermögensertrag;0;found;;(DE-627)255424264
"Bieri Hans Peter";;;"Die Besteuerung der Renten und Kapitalabfindungen";;;;-;185;Druckerzeugnis;"Diss. Nr. 372 der HSG";Haupt-Bibliothek;"PG 208";"St. Gallen";Verbandsdruckerei;1970;PG;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen aus anderen Quellen";0;found;;(DE-627)215534468
"Mennel Annemarie";;;"Die Steuersysteme in EWG-Staaten-EFTA-Staaten und den USA";;;;0;112;Druckerzeugnis;"1. A.- mit Beilage: Synoptische Darstellung";Haupt-Bibliothek;"KA 302 1";Herne;"Neue Wirtschafts-Briefe";1965;KA;;;"Ausländisches Steuerrecht";"Staatenverbände, Staatengruppen";0;found;;(DE-627)167952064
"Schedler Kuno";;;"Anreizsysteme in der öffentlichen Verwaltung";;;;3-258-04872-X;366;Druckerzeugnis;"Schriftenreihe Finanzwirtschaft und Finanzrecht, Bd. 68";Haupt-Bibliothek;"EH 116 2";Bern;"Paul Haupt";1993;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;found;;(DE-627)27222586X
"Horch Gerd";;;"Zum Begriff des Teilwerts";;;;0;118;Druckerzeugnis;"Diss. der Uni Bern";Haupt-Bibliothek;"PE 0419";;;1970;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;found;;(DE-627)1123169349
"Welter Reinhard";;;"Wiederkehrende Leistungen im Zivilrecht und im Steuerrecht";;;;0;236;Druckerzeugnis;"Schriften zum Steuerrecht, Bd. 27";Haupt-Bibliothek;"PG 212";Berlin;"Duncker & Humblot";1984;PG;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen aus anderen Quellen";0;found;;(DE-627)021183023
"Schober Heinz-Ludwig";;;"Die einkommensteuerliche Behandlung der Renten";;;;-;106;Druckerzeugnis;"Diss. der Uni Münster";Haupt-Bibliothek;"PG 206";Münster;;1964;PG;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen aus anderen Quellen";0;found;;(DE-627)414787447
"Stockert Kurt";;;"Die Vermögensteuer und die Vermögensabgabe unter Berücksichtigung ihrer Auswirkungen auf die Ertragsteuern";;;;-;;Druckerzeugnis;"Diss. der Uni Mannheim";Haupt-Bibliothek;"PJ 107";Mannheim;;1962;PJ;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";Vermögensteuer;0;found;;(DE-627)1070056995
"Scherpf Peter";"Oettle Karl";;"Über die Auswahl geeigneter Kriterien zur Beurteilung neuerer Teilwertvorschläge";;;;-;;Druckerzeugnis;"in: Steuerlast und Unternehmungspolitik, Festschrift für Kuno Barth, S 75 ff.";Haupt-Bibliothek;;;;;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;found;;(DE-627)1131113934
"Hansen Bent";;;"Impôts sur la Fortune y inclus Droits de succession";;;;-;;Druckerzeugnis;"in: Rapport an der XVI Session des Insitut International des Finances Publiques Zürich 1960, S. 1 ff.";Haupt-Bibliothek;;;;;PJ;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";Vermögensteuer;0;notfound
"Kaiser Hans";;;"Liquidität und Besteuerung";;;;0;211;Druckerzeugnis;"Der Einfluss der Besteuerung auf die Liquidität unter besonderer Berücksichtigung der vermögen- und schuldabgängigen Steuern- Schriftenreihe Annales universitatis Saraviensis, Bd. 53";Haupt-Bibliothek;"PE 0616";Berlin;"Carl Heymanns";1971;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;found;;(DE-627)022031979
"Dalla Torre Luca";;;"Die Sanierungsfusion";"eine rechtliche und ökonomische Analyse";;;978-3-7272-0003-8;438;Druckerzeugnis;"Abhandlungen zum schweizerischen Recht ASR, Heft 741";"HB Steuerrecht";"WC 330";Bern;Stämpfli;2007;WC;;;"Uebrige Literatur";Privatrecht;0;found;;(DE-627)547352018
"Peter K.";;;"ABC der abzugsfähigen und nichtabzugsfähigen Ausgaben";;;;-;417;Druckerzeugnis;"8. A.";Haupt-Bibliothek;"PC 402";Berlin;"Neue Wirtschafts-Briefe";1965;PC;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommensteuer allgemein";0;found;;(DE-627)112395383X
"Lüder Klaus";;;"Vergleichende Analyse öffentlicher Rechnungssysteme";Länderberichte;;;0179-2326;91;Druckerzeugnis;"Band 9: Japan Speyerer Forschungsberichte, Bd. 73";Haupt-Bibliothek;"VG 132 09";Speyer;"Forschungsinstitut für öffentliche Verwaltung";1993;YL2;YL7;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";notfound
"Chartered Institute of Public Finance and Accountancy";;;"Local government value for money handbook";;;;0-85299-279-3;;Druckerzeugnis;"Volume 3";Haupt-Bibliothek;"VE 139 2";London;CIPFA;1985;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";notfound
"Teuscher Heinz";;;"Finanzpolitische Willensbildung im Budgetprozess";;;;3-258-0513-4;222;Druckerzeugnis;"Ueberprüfung einiger Hypothesen am Beispiel des Budgets des Kantons St. Gallen Schriftenreihe Finanzwirtschaft und Finanzrecht Bd. 19";Haupt-Bibliothek;"VB 146 2";Bern;"Paul Haupt";1976;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";found;;(DE-627)021981221
IFSt;;;"IFSt-Heft 047";"Bd. 2";;;-;43;Druckerzeugnis;0;Haupt-Bibliothek;"Z 152 047.2";Bonn;Stollfuss;1961;Z;;;Zeitschriften;0;0;ignore
"Banca d'Italia";;;"I bilanci degli istituti di emissione italiani dal 1845 al 1936";"Tomo II";;;0;700;Druckerzeugnis;"Tomo II: altre serie storiche di interesse monetario e fonti";Haupt-Bibliothek;"AE 105 2";Rom;;1967;YJ;;;Wirtschaftswissenschaften;"Volkswirtschaftliches Rechnungswesen. Sonstiges, einzelnen Gruppen nicht zuweisbares statistisches Material";0;unsafe
"Falterbaum Hermann";;;"Bewertungsrecht und Vermögensteuer";;;;-;465;Druckerzeugnis;"2. A.- Finanzkolleg, Ausbildungswerk, Bd. 9/10";Haupt-Bibliothek;"PJ 602";Düsseldorf;Steuerbeamten-Verlag;1967;PJ;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";Vermögensteuer;0;found;;(DE-602)b3kat_BV023231733
"Aprath Werner";;;"Über die Anwendung betriebswirtschaftlicher Erkenntnisse bei der Besteuerung dargestellt am praktischen Fall der sogenannten Schnellbaukosten";;;;-;0;Druckerzeugnis;"in: in: Prüfung und Besteuerung der Betriebe, Festschrift für W. Eich, S. 149 ff.";Haupt-Bibliothek;;;;;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;notfound
"Blankart Charles B.";;;"Föderalismus in Deutschland und in Europa";;;;978-3-8329-2404-1;218;Druckerzeugnis;"Neue Studien zur politischen Ökonomie, Bd. 1";Haupt-Bibliothek;"YD 014";Baden-Baden;Nomos;2007;YD;;;Wirtschaftswissenschaften;"Allgemeine Wirtschaftspolitik. Wirtschaftssysteme";0;found;;(DE-627)521213509
;;;"Archiv für Schweizerisches Abgaberecht (ASA) 36 (1967/68)";;;;1422-3481;0;Druckerzeugnis;0;"HB Steuerrecht";"Z 030";Bern;Geiger;1968;Z;;;Zeitschriften;0;0;ignore
"Mittelbach Rolf";;;"Rückstellung für Verpflichtungen aus laufenden Verträgen";;;;0;87;Druckerzeugnis;0;Haupt-Bibliothek;"PE 0450";Köln;Deubner;1982;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;found;;(DE-627)022158014
;;;"Archiv für Schweizerisches Abgaberecht (ASA) 30 (1961/62)";;;;1422-3481;0;Druckerzeugnis;0;"HB Steuerrecht";"Z 030";Bern;Geiger;1962;Z;;;Zeitschriften;0;0;ignore
"Steueramt des Kantons Aargau";;;"Aargauische Gerichts- und Verwaltungsentscheide 1984";;;;0;738;Druckerzeugnis;0;Haupt-Bibliothek;"HB 219";Aarau;Sauerländer;1985;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Steueramt des Kantons Aargau";;;"Aargauische Gerichts- und Verwaltungsentscheide 1979";;;;0;519;Druckerzeugnis;0;Haupt-Bibliothek;"HB 219";Aarau;Sauerländer;1980;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
;;;"LeGes 2013";;;;1420-2395;;Druckerzeugnis;"LeGes - Gesetzgebung & Evaluation";"HB Steuerrecht";"Z 200";Bern;"Schweizerische Bundeskanzlei";2013;Z;;;Zeitschriften;0;0;ignore
"Laux Helmut";;;"Kapitalkosten und Ertragsteuern";;;;0;170;Druckerzeugnis;"Schriftenreihe Annales Universitatis Saraviensis, Rechts- und Wirtschaftswissenschaftliche Abteilung, Heft 42";Haupt-Bibliothek;"PE 0335";Köln;"Carl Heymanns";1969;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;found;;(DE-627)1073498190
;;;"Der Steuerentscheid (StE) 1999";;;;0254-8992;;Druckerzeugnis;"Sammlung aktueller steuerrechtlicher Entscheidungen";"HB Steuerrecht";"HB 227";Basel;"Helbing & Lichtenhahn";1999;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
;;;"Der Steuerentscheid (StE) 1992";;;;0254-8992;;Druckerzeugnis;"Sammlung aktueller steuerrechtlicher Entscheidungen";"HB Steuerrecht";"HB 227";Basel;"Helbing & Lichtenhahn";1992;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Schoop Katharina Elsbeth";;;"Die Haftung für die Überbewertung von Sacheinlagen bei der Aktiengesellschaft und bei der Gesellschaft mit Beschränkter Haftung";;;;0;196;Druckerzeugnis;"Dissertation der Uni Bern";Haupt-Bibliothek;"WC 213";Zürich;Schulthess;1981;WC;;;"Uebrige Literatur";Privatrecht;0;notfound
"Kühbacher Uli";;;"Darlehen an Konzernunternehmen-Besicherung und Vertragsanpassung";;;;0;211;Druckerzeugnis;"Konzern, Konzernrecht und Konzernfinanzierung, Teil III";Haupt-Bibliothek;"PL 128";Berlin;"Duncker & Humblot";1993;PL;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Gewinnsteuer der Kapitalgesellschaften";0;found;;(DE-627)131556193
Treuhand-Kammer;;;"Kammertagung 1985";Basel;;;-;248;Druckerzeugnis;"Schriftenreihe der Schweizerischen Treuhand- und Revisionskammer, Bd. 71";Haupt-Bibliothek;"WA 215";Zürich;"Schweiz. Treuhand- und Revisionskammer";1986;WA;;;"Uebrige Literatur";BWL;0;found;;(DE-627)082875685
IBFD;;;"The Tax Treatment of Transfer Pricing";"Vol. 3";;;90-70125-29-3;;Druckerzeugnis;"ursprünglich Loseblattwerk- 6 Ordner";Haupt-Bibliothek;"LC 0683";Amsterdam;IBFD;1999;LC;;;"Interkantonales/Internationales Steuerrecht";"Internationales Steuerrecht";0;found;;(DE-627)030859565
