"Thiemann Rolf";"Die Effizienz geldpolitischer Indikatoren Eine theoretische und empirische Analyse für die Bundesrepublik Deutschland";;212;Druckerzeugnis;06.09.2004;"Inaugural-Dissertation der Westfälischen Wilhelms-Universität zu Münster, 1977";Haupt-Bibliothek;"AK 0265";;Offset;1977;;YK;;;Wirtschaftswissenschaften;"Geld, Kredit- und Bankwesen. Bankbetriebslehre";;export;0991138;289071720
"Paulenz Rainer";"Der Einsatz finanzpolitischer Instrumente in der Forschungs- und Entwicklungspolitik";;232;Druckerzeugnis;"05.12.2003 08:19";"Möglichkeiten der Lenkung privater Forschungs- und Entwicklungstätigkeit durch steuerliche Vergünstigungen, Subventionen und öffentliche Aufträge";Haupt-Bibliothek;"AG 321";"Frankfurt am Main";"Peter Lang";1978;;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";;export;0991142;281413452
"Doerig Hans-Ulrich";"Der staatliche Einfluss auf die regionale Verteilung von Bevölkerung und Wirtschaft";;187;Druckerzeugnis;"05.12.2003 08:19";"Unter besonderer Berücksichtigung der zentral- und gliedstaatlichen Industriestrukturpolitik im Kanton St. Gallen";Haupt-Bibliothek;"AJ 135";Zürich;"Polygraphischer Verlag AG";1968;;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";;export;0991147;368195929
"Rolle Eberhard";"Die optimale Preisregel und das Problem der Gesamtkostendeckung bei öffentlichen Unternehmen";;184;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"EF 145";Göttingen;Offset-Druck;1969;;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";;reimport;0991153;29436689X
"Jakob Wolfgang";Umsatzsteuer;978-3-406-58883-9;341;Druckerzeugnis;"29.07.2011 18:10";"4. A.";"HB Steuerrecht";"QB 380";München;"C.H. Beck Verlag";2009;;QB;;;Verbrauchsteuern;Umsatzsteuer;;reimport;0991158;515924903
"Petitpierre Gilles";"A propos des conventions exclusives de la responsabilité";-;S.347-358;Druckerzeugnis;"05.12.2003 08:19";"In: Dufour, Alfred, u.a. , (Hrsg.): Mélanges en l'honneur du Professeur Bruno Schmidlin";Haupt-Bibliothek;-;-;-;-;;WC;;;"Uebrige Literatur";Privatrecht;;export;0991159;480870233
"Ronzani Silvio";"Arbeitskräftewanderung und gesellschaftliche Entwicklung";3.445.02031.0;234;Druckerzeugnis;"05.12.2003 08:19";"Erfahrungen in Italien, in der Schweiz und in der Bundesrepublik Deutschland";Haupt-Bibliothek;"AK 1046";Königstein;"Verlag Anton Hain";1980;;YC;;;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";;export;0991160;262267942
"Berger Wolfgang/Kindl Caroline/Wakounig Marian";Mehrwertsteuersystemrichtlinie;978-3-7007-4294-4;678;Druckerzeugnis;"29.07.2011 18:17";"Praxiskommentar - Kurzkommentierung - Zentrale Entscheidungen des EuGH - Auslegungsgrundsätze des Europäischen MwSt-Rechts";"HB Steuerrecht";"QB 381";Wien;"LexisNexis Verlag ARD Orac GmbH & Co KG";2009;;QB;;;Verbrauchsteuern;Umsatzsteuer;;export;0991166;299368033
"Glessner Miriam";"Die grenzüberschreitende stille Gesellschaft im Internationalen Steuerrecht";3-631-35739-7;369;Druckerzeugnis;"05.12.2003 08:19";"Einkommen- und körperschaftsteuerliche Wirkungen aus deutscher Sicht - Europäische Hochschulschriften, Reihe V, Volks- und Betriebswirtschaft, Bd. 2565";Haupt-Bibliothek;"LD 168";"Frankfurt a. Main / Berlin / Bern / Brüssel / New York / Wien";"Peter Lang- Europäischer Verlag der Wissenschaften";2000;;LD;;;"Interkantonales/Internationales Steuerrecht";Deutschland;;export;0991167;285159607
"Gross Thomas";"Die Entwicklung der öffentlichen Ausgaben in der Schweiz mit besonderer Berücksichtigung des Kantons Zürich 1860-1910";3.261.04760.7;126;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"BF 116";"Bern, Frankfurt";"Peter Lang";1980;;YL7;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";export;0991168;281874190
