"Schärli Alfred";"Die Gebühren des Bundes";;116;Druckerzeugnis;10.09.2003;;Haupt-Bibliothek;"CB 104";Winterthur;"Verlag P. G. Keller";1955;;YL7;YL8;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder";"hsg duplicate";0991192;0349969
"Grassl Werner";"Die These der Staatsschuldneutralität";3.428.05729.5;133;Druckerzeugnis;"05.12.2003 08:19";"Kritische Erörterung unter besonderer Berücksichtigung von Kreditmarktimperfektionen";Haupt-Bibliothek;"DA 156";Berlin;"Duncker & Humblot";1984;;YL2;YL7;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";"hsg duplicate";0991196;0347952
"Schmähl Winfried";"Alterssicherung und Einkommensverteilung";3.16.338842.6;539;Druckerzeugnis;"05.12.2003 08:19";"Theoretische und empirische Untersuchungen zur Finanzierung, Leistungsgewährung und zur Verteilung zwischen Generationen";Haupt-Bibliothek;"AF 154";Tübingen;"J.C.B. Mohr (Paul Siebeck)";1977;;YX;;;Wirtschaftswissenschaften;"Sozialpolitik. Gesundheitswesen. Bildungsökonomie";;"hsg duplicate";0991199;0344932
"Atteslander Peter";"Die Grenzen des Wohlstands";3.421.06061.4;196;Druckerzeugnis;"05.12.2003 08:19";"An der Schwelle zum Zuteilungsstaat";Haupt-Bibliothek;"AF 188";Stuttgart;"Deutsche Verlags-Anstalt";1981;;YX;;;Wirtschaftswissenschaften;"Sozialpolitik. Gesundheitswesen. Bildungsökonomie";;"hsg duplicate";0991201;0342229
"Kleine-Hartlage Michael";"Der Währungsvertrag Schweiz-Liechtenstein";;300;Druckerzeugnis;06.09.2004;"Dissertation der HSG, Nr. 1056, 1988";Haupt-Bibliothek;"AK 0282";Bamberg;"difo-druck schmacht";1988;;YK;;;Wirtschaftswissenschaften;"Geld, Kredit- und Bankwesen. Bankbetriebslehre";;"hsg duplicate";0991210;0008248
"Baer Hans";"Die Bedeutung des Rentners als Steuerzahler";;138;Druckerzeugnis;10.09.2003;"Berner Dissertation";Haupt-Bibliothek;"CA 113";Affoltern;"Buchdruckerei J. Weiss";1950;;YL7;YL8;YL9;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre";"hsg duplicate";0991214;0348072
"Rose Richard/Peters Guy";"Can Government go Bankrupt?";0.333.26280.8;249;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"AC 226";London;Macmillan;1978;;YL1;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Allgemeines;"hsg duplicate";0991220;0364942
"Usher Dan";"Die ökonomischen Grundlagen der Demokratie";3.593.33148.9;254;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"AK 1079";Frankfurt;"Campus Verlag";1983;;YC;;;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";;"hsg duplicate";0991224;0201079
"von Loeffelholz Hans Dietrich";"Die personale Inzidenz des Sozialhaushalts";3.525.11319.6;331;Druckerzeugnis;"05.12.2003 08:19";"Eine theoretische und empirische Studie";Haupt-Bibliothek;"AF 173";Göttingen;"Vandenhoeck & Ruprecht";1979;;YX;;;Wirtschaftswissenschaften;"Sozialpolitik. Gesundheitswesen. Bildungsökonomie";;"hsg duplicate";0991234;0342526
"Thiemeyer Theo";"Grenzkostenpreise bei öffentlichen Unternehmen";;248;Druckerzeugnis;08.01.2005;;Haupt-Bibliothek;"EG 101";Köln/Opladen;"Westdeutscher Verlag";1964;;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";;"hsg duplicate";0991239;0652703
"Kriesi Hanspeter";"Bewegung in der Schweizer Politik";3.593.33482.8;539;Druckerzeugnis;"05.12.2003 08:19";"Fallstudien zu politischen Mobilisierungsprozessen in der Schweiz";Haupt-Bibliothek;"AK 0458";Frankfurt;"Campus Verlag GmbH";1985;;YR;;;Wirtschaftswissenschaften;"Gewerbepolitik. Einzelne Wirtschaftszweige";;"hsg duplicate";0991245;0108076
"Beck-Wörner Martin";"Der Energieverbrauch der privaten Haushalte und seine Bestimmungsgründe. Empirische Untersuchung in der Stadt St. Gallen";;"179 + Anhang";Druckerzeugnis;"05.12.2003 08:19";"Dissertation der Hochschule St. Gallen, Nr. 845";Haupt-Bibliothek;"AG 349";Feldkirch;Kaindl;1982;;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";;"hsg duplicate";0991247;0063067
"Radel Rainer";"Die Bedeutung des öffentlichen Personennahverkehrs für die Raumordnungspolitik in den ländlichen Regionen der Bundesrepublik Deutschland";;202;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"AJ 171";Berlin;"Duncker & Humblot";1970;;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";;"hsg duplicate";0991248;0329677
"Smekal Christian/Gantner Manfried";"Die längerfristige Entwicklung der öffentlichen Finanzwirtschaft in Österreich im Zeitraum 1950-1983";3.7003.0608.3;314;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"AB 109";Wien;"Wilhelm Braumüller Verlag";1985;;YL1;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Allgemeines;"hsg duplicate";0991249;0347457
"Friedrich Peter";"Beiträge zur Theorie öffentlicher Unternehmen";0344-9777;221;Druckerzeugnis;"05.12.2003 08:19";"Zeitschrift für öffentliche und gemeinwirtschaftliche Unternehmen";Haupt-Bibliothek;"EF 186";Baden-Baden;Nomos;1992;;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";;"hsg duplicate";0991253;0048660
"Cross John G.";"A theory of adaptive economic behavior";0.521.25110.9;188;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"AK 1108";Cambridge;"Cambridge University Press";1983;;YC;;;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";;"hsg duplicate";0991255;0201641
"Caiden Gerald E.";"Administrative Reform Comes of Age";"3.11.012645.1 Pb. 3.11.012895.0 Gewebe";316;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"EG 178";"Berlin und andere";"de Gruyter";1991;;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";;"hsg duplicate";0991271;0071625
"Hartz Wilhelm";"Die Auslegung von Steuergesetzen - Inhalt und Umfang der wirtschaftlichen Betrachtungsweise";;60;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"JD 310";Herne;"Industria Verlagsbuchhandlung GmbH";1956;;JD;;;"Allgemeine Steuerrechtsliteratur";"Grundsätze der Rechtsanwendung";;"hsg duplicate";0991274;0125885
